,combined
0,Afghanistan
1,Albania
2,Algeria
3,Armenia
4,Austria
5,Azerbaijan
6,Bangladesh
7,Belarus
8,Belgium
9,Benin
10,Bhutan
11,Bolivia
12,Bosnia
13,Bosnia and Herzegovina
14,Botswana
15,Brazil
16,Bulgaria
17,Burkina Faso
18,Burundi
19,Cambodia
20,Cameroon
21,Canada
22,Chile
23,China
24,Colombia
25,Congo
26,Croatia
27,Cyprus
28,Czechia
29,Côte d'Ivoire
30,Côte d’Ivoire
31,Denmark
32,Ecuador
33,Egypt
34,El Salvador
35,Eritrea
36,Estonia
37,Ethiopia
38,Fiji
39,Finland
40,France
41,Georgia
42,Germany
43,Ghana
44,Global
45,Greece
46,Greenland
47,Guyana
48,Haiti
49,Hungary
50,Iceland
51,India
52,Indonesia
53,Iran
54,Iraq
55,Ireland
56,Italy
57,Jamaica
58,Japan
59,Kazakhstan
60,Kenya
61,Korea
62,Latvia
63,Lebanon
64,Lichtenstein
65,Lithuania
66,Macedonia
67,Malaysia
68,Mali
69,Malta
70,Mauritius
71,Mexico
72,Mongolia
73,Montenegro
74,Myanmar
75,Nepal
76,Netherlands
77,Niger
78,Nigeria
79,North Macedonia
80,Norway
81,Pakistan
82,Peru
83,Philippines
84,Poland
85,Portugal
86,Republic of Korea
87,Republic of Moldova
88,Romania
89,Russian Federation
90,Senegal
91,Serbia
92,Singapore
93,Slovakia
94,Slovenia
95,Somalia
96,South Africa
97,Spain
98,Sri Lanka
99,Sweden
100,Switzerland
101,Syrian Arab Republic
102,Thailand
103,Togo
104,Tunisia
105,Turkmenistan
106,Türkiye
107,UK
108,USA
109,Ukraine
110,United States of America
111,Uruguay
112,Uzbekistan
113,Zambia
114,nan
0,Afghanistan.dairy product
1,Afghanistan.fermented cereal
2,Albania.cheese
3,Albania.fermented fish
4,Algeria.fermented cereal
5,Armenia.cheese
6,Austria.alcoholic beverage
7,Austria.cheese
8,Austria.fermented meat
9,Austria.wine
10,Azerbaijan.dairy product
11,Azerbaijan.fermented cereal
12,Bangladesh.cheese
13,Bangladesh.dairy product
14,Bangladesh.fermented cereal
15,Bangladesh.fermented fish
16,Bangladesh.yogurt
17,Belarus.dairy product
18,Belgium.beer
19,Belgium.cheese
20,Benin.Alcoholic beverage
21,Benin.alcoholic beverage
22,Benin.condiment
23,Benin.fermented cereal
24,Benin.fermented fish
25,Benin.fermented roots
26,Bhutan.alcoholic beverage
27,Bhutan.cheese
28,Bhutan.dairy product
29,Bhutan.fermented legumes
30,Bhutan.fermented meat
31,Bhutan.fermented vegetables
32,Bolivia.fermented meat
33,Bosnia.fermented vegetables
34,Bosnia and Herzegovina.dairy product
35,Bosnia and Herzegovina.fermented fish
36,Botswana.fermented cereal
37,Brazil.cheese
38,Brazil.fermented cereal
39,Bulgaria.cheese
40,Bulgaria.fermented fish
41,Bulgaria.fermented vegetables
42,Bulgaria.yogurt
43,Burkina Faso.condiment
44,Burkina Faso.fermented cereal
45,Burkina Faso.fermented legumes
46,Burkina Faso.yogurt
47,Burundi.alcoholic beverage
48,Burundi.dairy product
49,Burundi.fermented roots
50,Cambodia.fermented fish
51,Cameroon.fermented roots
52,Canada.wine
53,Chile.fermented fruit
54,Chile.fermented meat
55,China.alcoholic beverage
56,China.cheese
57,China.dairy product
58,China.fermented cereal
59,China.fermented legumes
60,China.fermented meat
61,China.fermented vegetables
62,Colombia.alcoholic beverage
63,Congo.fermented cereal
64,Congo.fermented roots
65,Croatia.cheese
66,Croatia.fermented vegetables
67,Cyprus.cheese
68,Cyprus.fermented cereal
69,Czechia.cheese
70,Czechia.dairy product
71,Côte d'Ivoire.fermented cereal
72,Côte d’Ivoire.alcoholic beverage
73,Côte d’Ivoire.fermented roots
74,Denmark.cheese
75,Ecuador.fermented cereal
76,Egypt.alcoholic beverage
77,Egypt.beer
78,Egypt.dairy product
79,Egypt.fermented cereal
80,Egypt.fermented fish
81,El Salvador.fermented vegetables
82,Eritrea.alcoholic beverage
83,Eritrea.fermented cereal
84,Estonia.fermented cereal
85,Ethiopia.alcoholic beverage
86,Ethiopia.beer
87,Ethiopia.fermented cereal
88,Ethiopia.fermented vegetables
89,Ethiopia.yogurt
90,Fiji.fermented cereal
91,Finland.alcoholic beverage
92,Finland.beer
93,Finland.cheese
94,Finland.dairy product
95,Finland.yogurt
96,France.alcoholic beverage
97,France.cheese
98,France.dairy product
99,France.wine
100,Georgia.cheese
101,Georgia.dairy product
102,Germany.cheese
103,Germany.fermented cereal
104,Germany.fermented meat
105,Germany.fermented vegetables
106,Germany.wine
107,Ghana.Alcoholic beverage
108,Ghana.beer
109,Ghana.fermented cereal
110,Ghana.fermented legumes
111,Ghana.fermented roots
112,Ghana.yogurt
113,Global.dairy product
114,Greece.cheese
115,Greece.dairy product
116,Greece.fermented cereal
117,Greece.fermented fruit
118,Greenland.fermented fish
119,Greenland.fermented meat
120,Guyana.fermented cereal
121,Haiti.fermented vegetables
122,Hungary.cheese
123,Hungary.fermented meat
124,Hungary.wine
125,Iceland.alcoholic beverage
126,Iceland.fermented fish
127,Iceland.fermented meat
128,Iceland.yogurt
129,India.alcoholic beverage
130,India.cheese
131,India.dairy product
132,India.fermented cereal
133,India.fermented fish
134,India.fermented legumes
135,India.fermented meat
136,India.fermented vegetables
137,India.yogurt
138,Indonesia.alcoholic beverage
139,Indonesia.dairy product
140,Indonesia.fermented cereal
141,Indonesia.fermented fish
142,Indonesia.fermented fruit
143,Indonesia.fermented legumes
144,Indonesia.fermented meat
145,Indonesia.fermented roots
146,Indonesia.fermented vegetables
147,Indonesia.other
148,Iran.cheese
149,Iran.dairy product
150,Iran.fermented cereal
151,Iraq.dairy product
152,Iraq.fermented cereal
153,Ireland.alcoholic beverage
154,Ireland.cheese
155,Italy.cheese
156,Italy.condiment
157,Italy.fermented cereal
158,Italy.fermented fish
159,Italy.fermented fruit
160,Italy.fermented meat
161,Italy.wine
162,Jamaica.fermented cereal
163,Japan.alcoholic beverage
164,Japan.fermented cereal
165,Japan.fermented fish
166,Japan.fermented legumes
167,Japan.fermented vegetables
168,Kazakhstan.dairy product
169,Kenya.beer
170,Kenya.dairy product
171,Korea.alcoholic beverage
172,Korea.fermented cereal
173,Korea.fermented fish
174,Korea.fermented legumes
175,Korea.fermented vegetables
176,Latvia.fermented cereal
177,Lebanon.dairy product
178,Lichtenstein.cheese
179,Lithuania.cheese
180,Macedonia.fermented vegetables
181,Malaysia.alcoholic beverage
182,Malaysia.fermented fruit
183,Malaysia.fermented vegetables
184,Mali.fermented legumes
185,Malta.fermented cereal
186,Mauritius.fermented cereal
187,Mexico.alcoholic beverage
188,Mexico.cheese
189,Mexico.fermented fruit
190,Mongolia.dairy product
191,Montenegro.dairy product
192,Myanmar.fermented vegetables
193,Nepal.alcoholic beverage
194,Nepal.cheese
195,Nepal.dairy product
196,Nepal.fermented cereal
197,Nepal.fermented legumes
198,Nepal.fermented meat
199,Nepal.fermented vegetables
200,Nepal.yogurt
201,Netherlands.cheese
202,Niger.fermented meat
203,Nigeria.Alcoholic beverage
204,Nigeria.alcoholic beverage
205,Nigeria.beer
206,Nigeria.cheese
207,Nigeria.condiment
208,Nigeria.dairy product
209,Nigeria.fermented cereal
210,Nigeria.fermented legumes
211,Nigeria.fermented meat
212,Nigeria.fermented roots
213,Nigeria.fermented vegetables
214,Nigeria.yogurt
215,North Macedonia.cheese
216,North Macedonia.dairy product
217,North Macedonia.fermented fish
218,Norway.alcoholic beverage
219,Norway.cheese
220,Norway.fermented fish
221,Pakistan.cheese
222,Pakistan.dairy product
223,Pakistan.fermented cereal
224,Pakistan.yogurt
225,Peru.fermented fruit
226,Peru.fermented meat
227,Peru.fermented roots
228,Philippines.alcoholic beverage
229,Philippines.fermented cereal
230,Philippines.fermented fish
231,Philippines.fermented fruit
232,Philippines.fermented meat
233,Philippines.fermented roots
234,Philippines.fermented vegetables
235,Poland.cheese
236,Poland.dairy product
237,Poland.fermented cereal
238,Poland.fermented meat
239,Portugal.cheese
240,Portugal.fermented fruit
241,Portugal.fermented meat
242,Portugal.wine
243,Republic of Korea.fermented vegetables
244,Republic of Moldova.cheese
245,Romania.cheese
246,Romania.fermented cereal
247,Romania.fermented fish
248,Russian Federation.cheese
249,Russian Federation.dairy product
250,Russian Federation.fermented cereal
251,Senegal.fermented fish
252,Serbia.cheese
253,Serbia.dairy product
254,Serbia.fermented fish
255,Serbia.fermented vegetables
256,Singapore.fermented vegetables
257,Slovakia.cheese
258,Slovakia.dairy product
259,Slovenia.alcoholic beverage
260,Slovenia.dairy product
261,Somalia.fermented cereal
262,South Africa.fermented cereal
263,Spain.alcoholic beverage
264,Spain.cheese
265,Spain.fermented fruit
266,Spain.wine
267,Sri Lanka.fermented cereal
268,Sri Lanka.yogurt
269,Sweden.cheese
270,Sweden.yogurt
271,Switzerland.cheese
272,Switzerland.fermented meat
273,Syrian Arab Republic.dairy product
274,Syrian Arab Republic.fermented cereal
275,Thailand.fermented vegetables
276,Togo.fermented cereal
277,Togo.fermented roots
278,Tunisia.fermented cereal
279,Turkmenistan.dairy product
280,Türkiye.cheese
281,Türkiye.dairy product
282,Türkiye.fermented cereal
283,UK.alcoholic beverage
284,UK.cheese
285,UK.fermented cereal
286,USA.fermented fish
287,USA.fermented fruit
288,Ukraine.cheese
289,Ukraine.dairy product
290,United States of America.cheese
291,United States of America.fermented meat
292,United States of America.fermented vegetables
293,Uruguay.cheese
294,Uzbekistan.dairy product
295,Zambia.fermented cereal
296,nan.acid beverage
297,nan.alcoholic beverage
298,nan.fermented fruit
299,nan.fermented legumes
300,nan.wine
301,nan.yogurt
0,"Afghanistan.dairy product.Kaymak, Kajmak, Kaimak, Gemagh, Geymar"
1,Afghanistan.fermented cereal.Jalebi
2,Albania.cheese.Kashkaval
3,"Albania.cheese.Urdha, Urda, Vurda, Orda, Izvara, Zsendice"
4,Albania.fermented fish.Fesikh
5,Algeria.fermented cereal.Jalebi
6,"Armenia.cheese.Motal Paniri, Panire Khiki, Panire Pousti"
7,Austria.alcoholic beverage.Krautinger
8,Austria.cheese.Bregenzerwalder Mountain Cheese
9,Austria.cheese.Ennstaler Steirerkas
10,Austria.cheese.Glundner cheese
11,Austria.cheese.Montafoner Suure Kees
12,Austria.cheese.Tiroler Graukase
13,Austria.fermented meat.Speck
14,Austria.wine.Eiswein
15,Austria.wine.Schilfwein
16,Austria.wine.Spaetlese
17,Austria.wine.Trockenbeerenauslese
18,"Azerbaijan.dairy product.Kaymak, Kajmak, Kaimak, Gemagh, Geymar"
19,Azerbaijan.fermented cereal.Jalebi
20,Bangladesh.cheese.Paneer
21,"Bangladesh.dairy product.Misti dahi, Mishti doi, Lal dahi, Payodhi"
22,Bangladesh.fermented cereal.Jalebi
23,"Bangladesh.fermented cereal.Papadam, Papadum, Papad"
24,Bangladesh.fermented cereal.Thumba
25,Bangladesh.fermented fish.Shidal
26,Bangladesh.yogurt.Dahi
27,Belarus.dairy product.Ryazhenka
28,Belgium.beer.Lambic beer
29,Belgium.cheese.Herve
30,Belgium.cheese.Pas de Rouge
31,Benin.Alcoholic beverage.Burukutu
32,Benin.alcoholic beverage.Gowe
33,Benin.alcoholic beverage.Tchoukoutou
34,Benin.condiment.Afitin
35,Benin.fermented cereal.Kenkey
36,Benin.fermented cereal.Mawè
37,Benin.fermented cereal.Ogi
38,Benin.fermented fish.Lanhouin
39,Benin.fermented roots.Agbelima
40,Benin.fermented roots.Lafun
41,Bhutan.alcoholic beverage.Arrak
42,Bhutan.alcoholic beverage.Bhaati jaanr
43,Bhutan.alcoholic beverage.Chhaang
44,Bhutan.alcoholic beverage.Kodo ko jaanr
45,"Bhutan.cheese.Chhu, Sheden"
46,Bhutan.cheese.Chhurpi
47,Bhutan.cheese.Dudh churpi
48,"Bhutan.dairy product.Pheuja, Suja"
49,Bhutan.fermented legumes.Kinema
50,Bhutan.fermented meat.Chilu
51,Bhutan.fermented meat.Faak kargyong
52,Bhutan.fermented meat.Kheuri
53,Bhutan.fermented meat.Lang kargyong
54,Bhutan.fermented vegetables.Khalpi
55,Bhutan.fermented vegetables.Mesu
56,Bhutan.fermented vegetables.Sinki
57,Bolivia.fermented meat.Ch'arki
58,Bosnia.fermented vegetables.Sour cabbage
59,"Bosnia and Herzegovina.dairy product.Kaymak, Kajmak, Kaimak, Gemagh, Geymar"
60,Bosnia and Herzegovina.fermented fish.Fesikh
61,Botswana.fermented cereal.Bogobe
62,Botswana.fermented cereal.Ting
63,Brazil.cheese.Queijo minas
64,Brazil.cheese.Requeson
65,Brazil.fermented cereal.Jamin-bang
66,Bulgaria.cheese.Cherni Vit Green Cheese
67,Bulgaria.cheese.Kashkaval
68,Bulgaria.cheese.Sirene
69,"Bulgaria.cheese.Urdha, Urda, Vurda, Orda, Izvara, Zsendice"
70,Bulgaria.fermented fish.Fesikh
71,Bulgaria.fermented vegetables.Sour cabbage
72,Bulgaria.yogurt.Bulgarian yoghurt
73,Burkina Faso.condiment.Maari
74,Burkina Faso.fermented cereal.Ben-saalga
75,Burkina Faso.fermented legumes.Bikalga
76,Burkina Faso.fermented legumes.Soumbala
77,"Burkina Faso.fermented legumes.Sumbala, Soumbala"
78,Burkina Faso.yogurt.Nunu
79,Burundi.alcoholic beverage.Impeke
80,Burundi.alcoholic beverage.Isongo
81,Burundi.alcoholic beverage.Urwarwa
82,Burundi.dairy product.Amateregua
83,Burundi.dairy product.Amavuta
84,Burundi.dairy product.Urubu
85,Burundi.fermented roots.Ikivunde
86,Burundi.fermented roots.Imikembe
87,Burundi.fermented roots.Inyange
88,Cambodia.fermented fish.Prahok
89,Cameroon.fermented roots.Kumkum
90,Canada.wine.Icewine
91,Chile.fermented fruit.Olives
92,Chile.fermented meat.Ch'arki
93,China.alcoholic beverage.Arrak
94,China.alcoholic beverage.Baijiu
95,China.alcoholic beverage.Chhaang
96,"China.alcoholic beverage.Chhaang, Chhyang, Lugri"
97,China.alcoholic beverage.Choujiu
98,China.alcoholic beverage.Huangjiu
99,China.alcoholic beverage.Kodo ko jaanr
100,China.alcoholic beverage.Lychee wine
101,China.alcoholic beverage.Shaoxing-jiu
102,"China.cheese.Chhu, Sheden"
103,China.cheese.Chhurpi
104,China.dairy product.Koumiss
105,China.dairy product.Kumis
106,China.dairy product.Philu
107,China.fermented cereal.Angkak
108,China.fermented cereal.Chee-fan
109,China.fermented cereal.Lao-chao
110,China.fermented cereal.Mantou
111,China.fermented cereal.Minchin
112,China.fermented legumes.Doubanjiang
113,China.fermented legumes.Douzhi
114,China.fermented legumes.Furu
115,China.fermented legumes.Meitauza
116,China.fermented legumes.Miso
117,China.fermented legumes.Stinky tofu
118,China.fermented legumes.Tauco
119,China.fermented legumes.Tianmianjiang
120,China.fermented legumes.Yandou
121,China.fermented meat.Bak kwa
122,China.fermented meat.Chilu
123,China.fermented meat.Faak kargyong
124,China.fermented meat.Kheuri
125,China.fermented meat.Lang kargyong
126,China.fermented vegetables.Chinese pickles
127,"China.fermented vegetables.Fermented Tea, Dark Tea"
128,China.fermented vegetables.Meigan cai
129,China.fermented vegetables.Pao cai
130,China.fermented vegetables.Suan-cai
131,China.fermented vegetables.Suancha
132,China.fermented vegetables.Yongfeng chili sauce
133,China.fermented vegetables.Zha cai
134,Colombia.alcoholic beverage.Colombian Champus
135,Congo.fermented cereal.Munkoyo
136,Congo.fermented cereal.Poto poto
137,Congo.fermented roots.Chikwangue
138,Croatia.cheese.Pag Island Cheese
139,Croatia.fermented vegetables.Sour cabbage
140,Cyprus.cheese.Anari
141,Cyprus.cheese.Halloumi
142,Cyprus.cheese.Kefalotyri
143,Cyprus.fermented cereal.Arkatena
144,Czechia.cheese.Olomouc cheese
145,Czechia.dairy product.Zincica
146,Côte d'Ivoire.fermented cereal.Kenkey
147,Côte d’Ivoire.alcoholic beverage.Tuba
148,Côte d’Ivoire.fermented roots.Attieke
149,Côte d’Ivoire.fermented roots.Placali
150,Denmark.cheese.Dana Blu
151,Ecuador.fermented cereal.Sierra rice
152,Egypt.alcoholic beverage.Kishk
153,Egypt.beer.Bouza
154,Egypt.dairy product.Laban rayeb
155,Egypt.fermented cereal.Boza
156,Egypt.fermented cereal.Egyptian Kishk
157,Egypt.fermented cereal.Jalebi
158,Egypt.fermented fish.Fesikh
159,El Salvador.fermented vegetables.Curtido
160,Eritrea.alcoholic beverage.Tej
161,Eritrea.fermented cereal.Injera
162,Estonia.fermented cereal.Kvass
163,Estonia.fermented cereal.Rukkileib
164,Ethiopia.alcoholic beverage.Tej
165,Ethiopia.beer.Tella
166,Ethiopia.fermented cereal.Injera
167,Ethiopia.fermented cereal.Jalebi
168,Ethiopia.fermented vegetables.kocho
169,Ethiopia.yogurt.Ergo
170,Fiji.fermented cereal.Jalebi
171,Finland.alcoholic beverage.Sima
172,Finland.beer.Sahti
173,Finland.cheese.Juustoleipä
174,Finland.dairy product.Piima
175,Finland.yogurt.Viili
176,France.alcoholic beverage.Cider
177,France.cheese.Angelot
178,France.cheese.Banon
179,France.cheese.Basque Pyrenees Mountain Cheeses
180,France.cheese.Beaufort
181,France.cheese.Bleu d'Auvergne
182,France.cheese.Bleu de Termignon
183,France.cheese.Brie
184,France.cheese.Camembert
185,France.cheese.Cantal
186,France.cheese.Carre de l'est
187,France.cheese.Comte
188,France.cheese.Demi-sel
189,France.cheese.Epoisses de Bourgogne
190,France.cheese.Faisselle
191,France.cheese.Fourme d'Ambert
192,France.cheese.Fourme de Montbrison
193,France.cheese.Laguiole
194,France.cheese.Langres
195,France.cheese.Mimolette (Boule de Lille)
196,France.cheese.Munster
197,France.cheese.Picodon
198,France.cheese.Poligny Saint Pierre
199,France.cheese.Pont-l'Évêque
200,France.cheese.Port Salut
201,France.cheese.Reblochon
202,France.cheese.Roquefort
203,France.cheese.Saint-Nectaire
204,France.cheese.Saint-Paulin
205,France.cheese.Sainte-Maure de Touraine
206,France.cheese.Selles-sur-Cher
207,France.cheese.Tomme de Savoie
208,France.cheese.Vacherin Mont-d'Or
209,France.dairy product.Creme fraiche
210,France.wine.Champagner
211,France.wine.Floc de Gascogne
212,France.wine.Maury
213,France.wine.Monbazillac
214,France.wine.Sauternes
215,Georgia.cheese.Sulguni
216,"Georgia.dairy product.Kaymak, Kajmak, Kaimak, Gemagh, Geymar"
217,Germany.cheese.Milbenkase
218,Germany.fermented cereal.Christstollen
219,Germany.fermented cereal.Lebkuchen
220,Germany.fermented meat.Mettwurst
221,Germany.fermented meat.Northern Hesse Ahle Wurscht
222,Germany.fermented meat.Teewurst
223,Germany.fermented vegetables.Sauerkraut
